Song,Performer,SongID,Peak Position,Weeks on Chart,year
Friends And Lovers,Carl Anderson & Gloria Loring,Friends And LoversCarl Anderson & Gloria Loring,2,21,86
No One In The World,Anita Baker,No One In The WorldAnita Baker,44,17,87
I'd Still Say Yes,Klymaxx,I'd Still Say YesKlymaxx,18,20,87
Head To Toe,Lisa Lisa And Cult Jam,Head To ToeLisa Lisa And Cult Jam,1,20,87
Wanted Dead Or Alive,Bon Jovi,Wanted Dead Or AliveBon Jovi,7,17,87
If I Was Your Girlfriend,Prince,If I Was Your GirlfriendPrince,67,6,87
Together Forever,Rick Astley,Together ForeverRick Astley,1,18,88
Sign Your Name,Terence Trent D'Arby,Sign Your NameTerence Trent D'Arby,4,21,88
That's The Way,Katrina And The Waves,That's The WayKatrina And The Waves,16,12,89
Congratulations,Vesta,CongratulationsVesta,55,8,89
Oh Daddy,Adrian Belew,Oh DaddyAdrian Belew,58,8,89
Dial My Heart,The Boys,Dial My HeartThe Boys,13,19,89
Killing Me Softly,Al B. Sure!,Killing Me SoftlyAl B. Sure!,80,11,89
Seventeen,Winger,SeventeenWinger,26,16,89
"If You Asked Me To (From ""Licence To Kill"")",Patti LaBelle,"If You Asked Me To (From ""Licence To Kill"")Patti LaBelle",79,5,89
Buffalo Stance,Neneh Cherry,Buffalo StanceNeneh Cherry,3,24,89
All I'm Missing Is You,"Glenn Medeiros Featuring Ray Parker, Jr.","All I'm Missing Is YouGlenn Medeiros Featuring Ray Parker, Jr.",32,13,90
Alright,Janet Jackson,AlrightJanet Jackson,4,16,90
Get On Your Feet,Gloria Estefan,Get On Your FeetGloria Estefan,11,17,90
Crazy,Seal,CrazySeal,7,19,91
The Motown Song,Rod Stewart,The Motown SongRod Stewart,10,17,91
3-2-1 Pump,Redhead Kingpin & The F.B.I.,3-2-1 PumpRedhead Kingpin & The F.B.I.,52,15,92
Move Any Mountain,The Shamen,Move Any MountainThe Shamen,38,17,92
Jump!,The Movement,Jump!The Movement,53,20,92
Forever My Lady,Jodeci,Forever My LadyJodeci,25,20,92
High,The Cure,HighThe Cure,42,12,92
What You Give,Tesla,What You GiveTesla,86,6,92
To Love Somebody,Michael Bolton,To Love SomebodyMichael Bolton,11,20,93
Just Another Day,Queen Latifah,Just Another DayQueen Latifah,54,11,94
Time And Chance,Color Me Badd,Time And ChanceColor Me Badd,23,19,94
Getto Jam,Domino,Getto JamDomino,7,20,94
Good Times,Edie Brickell,Good TimesEdie Brickell,60,8,94
Sick Of Myself,Matthew Sweet,Sick Of MyselfMatthew Sweet,58,20,95
I'll Make Love To You,Boyz II Men,I'll Make Love To YouBoyz II Men,1,33,95
Don't Rush,Silk,Don't RushSilk,91,3,96
We Danced Anyway,Deana Carter,We Danced AnywayDeana Carter,72,9,97
"It's Alright, It's Ok",Leah Andreone,"It's Alright, It's OkLeah Andreone",57,20,97
One More Night,Amber,One More NightAmber,58,20,98
The Day That She Left Tulsa (In A Chevy),Wade Hayes,The Day That She Left Tulsa (In A Chevy)Wade Hayes,86,5,98
I Don't Ever Want To See You Again,Uncle Sam,I Don't Ever Want To See You AgainUncle Sam,6,28,98
Adia,Sarah McLachlan,AdiaSarah McLachlan,3,27,98
This Kiss,Faith Hill,This KissFaith Hill,7,48,99
